Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69306-91591,QB,Justin,Justin Fields,Fields,11.40000025431315,12,7000,NYG@CHI,CHI,NYG,Q,Ankle,,,,QB
69306-52922,RB,Leonard,Leonard Fournette,Fournette,15.792857578822545,14,7000,TB@NYJ,TB,NYJ,IR,Hamstring,,,,RB/FLEX
69306-89981,WR,Tee,Tee Higgins,Higgins,13.415384145883413,13,7000,KC@CIN,CIN,KC,,,,,,WR/FLEX
69306-53331,QB,Taylor,Taylor Heinicke,Heinicke,15.855713980538505,14,6900,PHI@WAS,WAS,PHI,,,,,,QB
69306-57840,RB,Rashaad,Rashaad Penny,Penny,7.775000095367432,8,6900,DET@SEA,SEA,DET,,,,,,RB/FLEX
69306-57986,WR,Hunter,Hunter Renfrow,Renfrow,11.706667073567708,15,6900,LV@IND,LV,IND,,,,,,WR/FLEX
69306-45859,QB,Derek,Derek Carr,Carr,16.227999877929687,15,6900,LV@IND,LV,IND,Q,Ribs,,,,QB
69306-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,9.200000217982701,14,6900,DET@SEA,DET,SEA,,,,,,WR/FLEX
69306-90584,QB,Mac,Mac Jones,Jones,13.58800048828125,15,6800,JAC@NE,NE,JAC,,,,,,QB
69306-90933,RB,Antonio,Antonio Gibson,Gibson,12.433333333333334,15,6800,PHI@WAS,WAS,PHI,,,,,,RB/FLEX
69306-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,14.335714067731585,14,6700,ATL@BUF,ATL,BUF,,,,,,RB/FLEX
69306-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,8,6,6700,HOU@SF,SF,HOU,,,,,,RB/FLEX
69306-31001,WR,Amari,Amari Cooper,Cooper,11.446154080904448,13,6700,ARI@DAL,DAL,ARI,,,,,,WR/FLEX
69306-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,15.76909151944247,11,6700,MIA@TEN,MIA,TEN,,,,,,QB
69306-11460,TE,Rob,Rob Gronkowski,Gronkowski,11.15,10,6700,TB@NYJ,TB,NYJ,,,,,,TE/FLEX
69306-38435,QB,Jared,Jared Goff,Goff,14.229230440579927,13,6700,DET@SEA,DET,SEA,,,,,,QB
69306-40687,RB,James,James Conner,Conner,15.349999564034599,14,6700,ARI@DAL,ARI,DAL,Q,Heel,,,,RB/FLEX
69306-28434,QB,Trevor,Trevor Siemian,Siemian,16.48399963378906,5,6700,CAR@NO,NO,CAR,IR,Illness,,,,QB
69306-63589,QB,Sam,Sam Darnold,Darnold,15.163999938964844,10,6600,CAR@NO,CAR,NO,,,,,,QB
69306-6616,QB,Matt,Matt Ryan,Ryan,14.433333333333334,15,6600,ATL@BUF,ATL,BUF,,,,,,QB
69306-64401,RB,Saquon,Saquon Barkley,Barkley,10.136363636363637,11,6600,NYG@CHI,NYG,CHI,,,,,,RB/FLEX
69306-39829,WR,Mike,Mike Williams,Williams,12.314285278320312,14,6600,DEN@LAC,LAC,DEN,IR,Illness,,,,WR/FLEX
69306-72731,RB,Josh,Josh Jacobs,Jacobs,12.430769700270433,13,6600,LV@IND,LV,IND,,,,,,RB/FLEX
69306-73048,WR,DK,DK Metcalf,Metcalf,11.373333740234376,15,6600,DET@SEA,SEA,DET,,,,,,WR/FLEX
69306-14185,QB,Cam,Cam Newton,Newton,15.143333435058594,6,6600,CAR@NO,CAR,NO,,,,,,QB
69306-90406,QB,Zach,Zach Wilson,Wilson,12.692726828835227,11,6500,TB@NYJ,NYJ,TB,,,,,,QB
69306-25011,TE,Darren,Darren Waller,Waller,10.280000305175781,10,6500,LV@IND,LV,IND,Q,Knee,,,,TE/FLEX
69306-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,14.977142333984375,14,6500,DEN@LAC,DEN,LAC,Q,Concussion,,,,QB
69306-64051,QB,Drew,Drew Lock,Lock,4,4,6500,DEN@LAC,DEN,LAC,,,,,,QB
69306-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,7.658333460489909,12,6500,LAR@BAL,LAR,BAL,,,,,,WR/FLEX
69306-29501,WR,Brandin,Brandin Cooks,Cooks,11.900000435965401,14,6500,HOU@SF,HOU,SF,IR,Illness,,,,WR/FLEX
69306-83081,RB,Chase,Chase Edmonds,Edmonds,10.099999861283736,11,6500,ARI@DAL,ARI,DAL,,,,,,RB/FLEX
69306-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.3,15,6500,LV@IND,IND,LV,,,,,,WR/FLEX
69306-8023,QB,Josh,Josh Johnson,Johnson,12.079999923706055,4,6500,LAR@BAL,BAL,LAR,,,,,,QB
69306-89951,QB,Trevor,Trevor Lawrence,Lawrence,12.473333740234375,15,6500,JAC@NE,JAC,NE,,,,,,QB
69306-55165,RB,Justin,Justin Jackson,Jackson,5.9636362249201,11,6500,DEN@LAC,LAC,DEN,,,,,,RB/FLEX
69306-149696,QB,Trey,Trey Lance,Lance,9.372000122070313,5,6400,HOU@SF,SF,HOU,,,,,,QB
69306-60858,WR,Christian,Christian Kirk,Kirk,10.194666544596354,15,6400,ARI@DAL,ARI,DAL,,,,,,WR/FLEX
69306-89628,QB,Davis,Davis Mills,Mills,11.80000027743253,11,6400,HOU@SF,HOU,SF,,,,,,QB
69306-63043,WR,DJ,DJ Moore,Moore,11.540000406901042,15,6400,CAR@NO,CAR,NO,,,,,,WR/FLEX
69306-71845,RB,Miles,Miles Sanders,Sanders,8.683333079020182,12,6300,PHI@WAS,PHI,WAS,O,Hand,,,,RB/FLEX
69306-86687,WR,Marquise,Marquise Brown,Brown,12.450000217982701,14,6300,LAR@BAL,BAL,LAR,,,,,,WR/FLEX
69306-22027,QB,Nick,Nick Foles,Foles,16.799999237060547,1,6300,NYG@CHI,CHI,NYG,,,,,,QB
69306-14225,QB,Andy,Andy Dalton,Dalton,10.696666717529297,6,6300,NYG@CHI,CHI,NYG,Q,Hand,,,,QB
69306-63759,RB,Tony,Tony Pollard,Pollard,9.700000217982701,14,6200,ARI@DAL,DAL,ARI,,,,,,RB/FLEX
69306-61798,QB,Gardner,Gardner Minshew II,Minshew II,9.609999656677246,2,6200,PHI@WAS,PHI,WAS,,,,,,QB
69306-29358,QB,Marcus,Marcus Mariota,Mariota,2.160000038146973,5,6200,LV@IND,LV,IND,IR,Illness,,,,QB
69306-25410,QB,Mike,Mike Glennon,Glennon,8.927999877929688,5,6200,NYG@CHI,NYG,CHI,,,,,,QB
69306-41827,QB,P.J.,P.J. Walker,Walker,3.3560001373291017,5,6200,CAR@NO,CAR,NO,,,,,,QB
69306-64585,TE,Dawson,Dawson Knox,Knox,10.215384850135216,13,6200,ATL@BUF,BUF,ATL,,,,,,TE/FLEX
69306-32158,QB,Garrett,Garrett Gilbert,Gilbert,7.760000228881836,1,6200,PHI@WAS,WAS,PHI,,,,,,QB
69306-73118,QB,Ian,Ian Book,Book,4,1,6200,CAR@NO,NO,CAR,,,,,,QB
69306-91639,QB,Jake,Jake Fromm,Fromm,2.240000009536743,2,6200,NYG@CHI,NYG,CHI,,,,,,QB
69306-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.631999969482422,10,6200,MIA@TEN,MIA,TEN,,,,,,QB
69306-40482,QB,Tim,Tim Boyle,Boyle,5.78000020980835,2,6200,DET@SEA,DET,SEA,,,,,,QB
69306-52897,RB,Darrel,Darrel Williams,Williams,9.473333740234375,15,6200,KC@CIN,KC,CIN,,,,,,RB/FLEX
69306-44715,QB,Cooper,Cooper Rush,Rush,8.359999974568685,3,6200,ARI@DAL,DAL,ARI,,,,,,QB
69306-40669,WR,Tyler,Tyler Boyd,Boyd,9.249333699544271,15,6200,KC@CIN,CIN,KC,,,,,,WR/FLEX
69306-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,10.80999984741211,10,6200,KC@CIN,KC,CIN,Q,Shoulder,,,,RB/FLEX
69306-53095,QB,Kyle,Kyle Allen,Allen,3.950000047683716,2,6200,PHI@WAS,WAS,PHI,,,,,,QB
69306-14377,QB,Tyrod,Tyrod Taylor,Taylor,14.456666310628256,6,6100,HOU@SF,HOU,SF,,,,,,QB
69306-28900,RB,Melvin,Melvin Gordon III,Gordon III,11.164285932268415,14,6100,DEN@LAC,DEN,LAC,,,,,,RB/FLEX
69306-31170,QB,Brandon,Brandon Allen,Allen,1.3733332951863606,3,6100,KC@CIN,CIN,KC,IR,Illness,,,,QB
69306-90576,WR,DeVonta,DeVonta Smith,Smith,9.406667073567709,15,6100,PHI@WAS,PHI,WAS,,,,,,WR/FLEX
69306-6714,QB,Joe,Joe Flacco,Flacco,11.90999984741211,2,6100,TB@NYJ,NYJ,TB,IR,Illness,,,,QB
69306-8803,QB,Chase,Chase Daniel,Daniel,-0.20000000298023224,1,6100,DEN@LAC,LAC,DEN,IR,Illness,,,,QB
69306-56192,QB,John,John Wolford,Wolford,-0.44999998807907104,2,6100,LAR@BAL,LAR,BAL,,,,,,QB
69306-29915,QB,Brett,Brett Hundley,Hundley,0,2,6100,LV@IND,IND,LV,,,,,,QB
69306-11500,QB,Colt,Colt McCoy,McCoy,6.0428570338657925,7,6100,ARI@DAL,ARI,DAL,,,,,,QB
69306-27986,QB,C.J.,C.J. Beathard,Beathard,0.7599999904632568,2,6100,JAC@NE,JAC,NE,,,,,,QB
69306-93541,RB,Javonte,Javonte Williams,Williams,11.486666870117187,15,6100,DEN@LAC,DEN,LAC,,,,,,RB/FLEX
69306-40534,QB,Mike,Mike White,White,13.005000114440918,4,6100,TB@NYJ,NYJ,TB,,,,,,QB
69306-7844,QB,Chad,Chad Henne,Henne,0.8199999928474426,4,6100,KC@CIN,KC,CIN,,,,,,QB
69306-52916,WR,Russell,Russell Gage,Gage,9.127272865988992,11,6100,ATL@BUF,ATL,BUF,,,,,,WR/FLEX
69306-7872,QB,Brian,Brian Hoyer,Hoyer,2.4149999618530273,4,6100,JAC@NE,NE,JAC,,,,,,QB
69306-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,2.2049999237060547,4,6100,ATL@BUF,BUF,ATL,,,,,,QB
69306-26483,QB,Geno,Geno Smith,Smith,13.819999694824219,4,6100,DET@SEA,SEA,DET,,,,,,QB
69306-63519,QB,Daniel,Daniel Jones,Jones,15.82000038840554,11,6000,NYG@CHI,NYG,CHI,IR,Neck,,,,QB
69306-30761,QB,Nathan,Nathan Peterman,Peterman,0.20000000298023224,1,6000,LV@IND,LV,IND,,,,,,QB
69306-86080,TE,Kyle,Kyle Pitts,Pitts,8.859999593098959,15,6000,ATL@BUF,ATL,BUF,,,,,,TE/FLEX
69306-71798,QB,Anthony,Anthony Gordon,Gordon,0,1,6000,DEN@LAC,DEN,LAC,,,,,,QB
69306-63611,QB,Kyle,Kyle Shurmur,Shurmur,,,6000,PHI@WAS,WAS,PHI,,,,,,QB
69306-69777,WR,Darnell,Darnell Mooney,Mooney,9.613333129882813,15,6000,NYG@CHI,CHI,NYG,,,,,,WR/FLEX
69306-57537,QB,DeShone,DeShone Kizer,Kizer,,,6000,MIA@TEN,TEN,MIA,,,,,,QB
69306-69833,QB,Shane,Shane Buechele,Buechele,,,6000,KC@CIN,KC,CIN,,,,,,QB
69306-45259,QB,Logan,Logan Woodside,Woodside,-0.15000000596046448,4,6000,MIA@TEN,TEN,MIA,,,,,,QB
69306-24849,QB,Jameis,Jameis Winston,Winston,17.2000002179827,7,6000,CAR@NO,NO,CAR,IR,Knee - acl,,,,QB
69306-61751,QB,Josh,Josh Thomas,Thomas,,,6000,ATL@BUF,BUF,ATL,,,,,,QB
69306-31047,QB,AJ,AJ McCarron,McCarron,0.4000000059604645,2,6000,ATL@BUF,ATL,BUF,IR,Knee - acl,,,,QB
69306-149889,QB,Kenji,Kenji Bahar,Bahar,,,6000,LAR@BAL,BAL,LAR,,,,,,QB
69306-92560,QB,Sam,Sam Ehlinger,Ehlinger,0.29999999205271405,3,6000,LV@IND,IND,LV,,,,,,QB
69306-43433,RB,Boston,Boston Scott,Scott,7.722222222222222,9,6000,PHI@WAS,PHI,WAS,,,,,,RB/FLEX
69306-63920,QB,Josh,Josh Love,Love,0,2,6000,CAR@NO,CAR,NO,,,,,,QB
69306-88575,WR,Elijah,Elijah Moore,Moore,10.60909063165838,11,6000,TB@NYJ,NYJ,TB,IR,Quadriceps,,,,WR/FLEX
69306-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,6000,PHI@WAS,WAS,PHI,,,,,,QB
69306-61982,QB,Tommy,Tommy Stevens,Stevens,2.4000000953674316,1,6000,NYG@CHI,NYG,CHI,,,,,,QB
69306-45631,RB,Jamaal,Jamaal Williams,Williams,8.10909063165838,11,6000,DET@SEA,DET,SEA,,,,,,RB/FLEX
69306-64115,QB,Steven,Steven Montez,Montez,0,1,6000,DET@SEA,DET,SEA,O,Illness,,,,QB
69306-39795,QB,Davis,Davis Webb,Webb,-0.30000001192092896,1,6000,ATL@BUF,BUF,ATL,,,,,,QB
69306-62364,QB,Josh,Josh Rosen,Rosen,-0.41333333651224774,3,6000,ATL@BUF,ATL,BUF,,,,,,QB
69306-29605,QB,Matt,Matt Barkley,Barkley,2.569999933242798,4,6000,CAR@NO,CAR,NO,,,,,,QB
69306-33702,QB,Ryan,Ryan Griffin,Griffin,,,6000,TB@NYJ,TB,NYJ,,,,,,QB
69306-70603,RB,Devin,Devin Singletary,Singletary,8.706667073567708,15,6000,ATL@BUF,BUF,ATL,,,,,,RB/FLEX
69306-56286,QB,Trace,Trace McSorley,McSorley,3.1000000635782876,3,6000,ARI@DAL,ARI,DAL,,,,,,QB
69306-64581,WR,Van,Van Jefferson Jr.,Jefferson Jr.,8.720000203450521,15,6000,LAR@BAL,LAR,BAL,,,,,,WR/FLEX
69306-62566,QB,Travis,Travis Jonsen,Jonsen,,,6000,DET@SEA,DET,SEA,,,,,,QB
69306-52342,QB,Will,Will Grier,Grier,0,2,6000,ARI@DAL,DAL,ARI,,,,,,QB
69306-64637,QB,Brian,Brian Lewerke,Lewerke,0,1,6000,NYG@CHI,NYG,CHI,,,,,,QB
69306-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.25999999046325684,2,6000,HOU@SF,SF,HOU,,,,,,QB
69306-42142,RB,Jordan,Jordan Howard,Howard,9.816666920979818,6,6000,PHI@WAS,PHI,WAS,Q,Neck,,,,RB/FLEX
69306-130269,QB,Reid,Reid Sinnett,Sinnett,0,1,6000,PHI@WAS,PHI,WAS,,,,,,QB
69306-54507,QB,Alex,Alex McGough,McGough,,,6000,DET@SEA,SEA,DET,,,,,,QB
69306-130334,QB,Jalen,Jalen Morton,Morton,,,6000,LV@IND,IND,LV,,,,,,QB
69306-130337,QB,Case,Case Cookus,Cookus,0,1,6000,LV@IND,LV,IND,,,,,,QB
69306-60787,QB,Bryce,Bryce Perkins,Perkins,0,2,6000,LAR@BAL,LAR,BAL,,,,,,QB
69306-52606,QB,David,David Blough,Blough,0.6000000238418579,1,6000,DET@SEA,DET,SEA,,,,,,QB
69306-103824,QB,Easton,Easton Stick,Stick,-0.03999999910593033,1,6000,DEN@LAC,LAC,DEN,,,,,,QB
69306-60840,QB,Jake,Jake Browning,Browning,,,6000,KC@CIN,CIN,KC,,,,,,QB
69306-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,0.7200000286102295,1,6000,PHI@WAS,WAS,PHI,IR,Hip,,,,QB
69306-34308,QB,Blake,Blake Bortles,Bortles,0,1,6000,CAR@NO,NO,CAR,,,,,,QB
69306-60947,QB,Jarrett,Jarrett Stidham,Stidham,2.6566665967305503,6,6000,JAC@NE,NE,JAC,,,,,,QB
69306-30253,QB,Jeff,Jeff Driskel,Driskel,8.020000457763672,4,6000,HOU@SF,HOU,SF,IR,Collarbone,,,,QB
69306-54879,QB,Deshaun,Deshaun Watson,Watson,23.520000457763672,16,6000,HOU@SF,HOU,SF,,,,,,QB
69306-95893,QB,Devlin,Devlin Hodges,Hodges,0,1,6000,LAR@BAL,LAR,BAL,,,,,,QB
69306-69302,QB,Feleipe,Feleipe Franks,Franks,-0.13333333532015482,3,6000,ATL@BUF,ATL,BUF,IR,Undisclosed,,,,QB
69306-69304,QB,Kyle,Kyle Trask,Trask,,,6000,TB@NYJ,TB,NYJ,,,,,,QB
69306-52929,QB,Jake,Jake Luton,Luton,6.851999664306641,5,6000,MIA@TEN,MIA,TEN,,,,,,QB
69306-69333,QB,Jacob,Jacob Eason,Eason,0,1,6000,DET@SEA,SEA,DET,,,,,,QB
69306-61157,QB,Brett,Brett Rypien,Rypien,5.100000063578288,3,6000,DEN@LAC,DEN,LAC,,,,,,QB
69306-104281,QB,Jake,Jake Dolegala,Dolegala,0,1,6000,MIA@TEN,MIA,TEN,,,,,,QB
69306-61276,QB,James,James Morgan,Morgan,0,1,6000,LV@IND,IND,LV,,,,,,QB
69306-55148,QB,Clayton,Clayton Thorson,Thorson,0,1,6000,NYG@CHI,NYG,CHI,,,,,,QB
69306-38767,QB,Chris,Chris Streveler,Streveler,1.0199999809265137,2,6000,LAR@BAL,BAL,LAR,O,Undisclosed,,,,QB
69306-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.4159999847412109,5,6000,TB@NYJ,TB,NYJ,,,,,,QB
69306-38837,QB,Danny,Danny Etling,Etling,0,1,6000,JAC@NE,JAC,NE,,,,,,QB
69306-63469,QB,Ben,Ben DiNucci,DiNucci,2.3200000127156577,3,6000,ARI@DAL,DAL,ARI,,,,,,QB
69306-71672,QB,KJ,KJ Costello,Costello,,,6000,DEN@LAC,LAC,DEN,,,,,,QB
69306-33260,WR,DeVante,DeVante Parker,Parker,10.67142813546317,7,5900,MIA@TEN,MIA,TEN,,,,,,WR/FLEX
69306-56265,TE,Mike,Mike Gesicki,Gesicki,7.8799997965494795,15,5900,MIA@TEN,MIA,TEN,,,,,,TE/FLEX
69306-60930,RB,Myles,Myles Gaskin,Gaskin,9.620000203450521,15,5900,MIA@TEN,MIA,TEN,,,,,,RB/FLEX
69306-55042,TE,Dalton,Dalton Schultz,Schultz,9.720000203450521,15,5900,ARI@DAL,DAL,ARI,,,,,,TE/FLEX
69306-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,7.813333129882812,15,5900,HOU@SF,SF,HOU,,,,,,WR/FLEX
69306-71706,TE,T.J.,T.J. Hockenson,Hockenson,9.566666920979818,12,5800,DET@SEA,DET,SEA,IR,Thumb,,,,TE/FLEX
69306-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.607142857142858,14,5800,JAC@NE,NE,JAC,,,,,,WR/FLEX
69306-69956,WR,Michael,Michael Gallup,Gallup,7.862500190734863,8,5800,ARI@DAL,DAL,ARI,,,,,,WR/FLEX
69306-55830,RB,D'Onta,D'Onta Foreman,Foreman,8.757142748151507,7,5800,MIA@TEN,TEN,MIA,,,,,,RB/FLEX
69306-83074,TE,Dallas,Dallas Goedert,Goedert,9.064285823277064,14,5800,PHI@WAS,PHI,WAS,,,,,,TE/FLEX
69306-25837,RB,Duke,Duke Johnson,Johnson,10.299999872843424,3,5800,MIA@TEN,MIA,TEN,,,,,,RB/FLEX
69306-14211,RB,Mark,Mark Ingram II,Ingram II,6.7928570338657925,14,5800,CAR@NO,NO,CAR,,,,,,RB/FLEX
69306-24920,RB,Devonta,Devonta Freeman,Freeman,8.407142639160156,14,5700,LAR@BAL,BAL,LAR,,,,,,RB/FLEX
69306-90561,WR,Jerry,Jerry Jeudy,Jeudy,6.888888888888889,9,5700,DEN@LAC,DEN,LAC,,,,,,WR/FLEX
