"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"53152-71798","QB","Anthony","Anthony Gordon","Gordon","0","1","5000","LAR@SEA","SEA","LAR","","","","",""
"53152-23194","WR","Josh","Josh Gordon","Gordon","0","1","5000","LAR@SEA","SEA","LAR","IR","Suspension","","",""
"53152-33702","QB","Ryan","Ryan Griffin","Griffin","0.3100000023841858","2","5000","TB@WAS","TB","WAS","","","","",""
"53152-63920","QB","Josh","Josh Love","Love","0","2","5000","LAR@SEA","LAR","SEA","","","","",""
"53152-38837","QB","Danny","Danny Etling","Etling","0","1","5000","LAR@SEA","SEA","LAR","","","","",""
"53152-69333","QB","Jacob","Jacob Eason","Eason","0","1","5000","IND@BUF","IND","BUF","","","","",""
"53152-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","9.395000457763672","8","5000","TB@WAS","WAS","TB","","","","",""
"53152-54507","QB","Alex","Alex McGough","McGough","0","0","5000","LAR@SEA","SEA","LAR","","","","",""
"53152-91639","QB","Jake","Jake Fromm","Fromm","0","0","5000","IND@BUF","BUF","IND","","","","",""
"53152-64585","TE","Dawson","Dawson Knox","Knox","4.98181811246005","11","4900","IND@BUF","BUF","IND","","","","",""
"53152-53639","WR","Isaiah","Isaiah McKenzie","McKenzie","5.6386667887369795","15","4900","IND@BUF","BUF","IND","","","","",""
"53152-54472","WR","Cam","Cam Sims","Sims","5.399999765249399","13","4900","TB@WAS","WAS","TB","","","","",""
"53152-32234","RB","Malcolm","Malcolm Brown","Brown","6.099999904632568","16","4900","LAR@SEA","LAR","SEA","","","","",""
"53152-12538","D","Los Angeles","Los Angeles Rams","Rams","9.5","16","4900","LAR@SEA","LAR","SEA","","","","",""
"53152-53097","WR","Josh","Josh Reynolds","Reynolds","6.143750190734863","16","4800","LAR@SEA","LAR","SEA","","","","",""
"53152-40843","RB","Alex","Alex Collins","Collins","6.866666793823242","3","4800","LAR@SEA","SEA","LAR","","","","",""
"53152-57840","RB","Rashaad","Rashaad Penny","Penny","0.8500000238418579","4","4800","LAR@SEA","SEA","LAR","","","","",""
"53152-71444","RB","Travis","Travis Homer","Homer","3.144444359673394","9","4700","LAR@SEA","SEA","LAR","IR","Knee","","",""
"53152-64581","WR","Van","Van Jefferson Jr.","Jefferson Jr.","2.671428680419922","14","4700","LAR@SEA","LAR","SEA","","","","",""
"53152-30297","TE","Trey","Trey Burton","Burton","6.300000277432528","11","4700","IND@BUF","IND","BUF","","","","",""
"53152-61273","WR","Scotty","Scotty Miller","Miller","6.142857142857143","14","4700","TB@WAS","TB","WAS","","","","",""
"53152-79987","WR","David","David Moore","Moore","6.331250190734863","16","4700","LAR@SEA","SEA","LAR","","","","",""
"53152-40857","RB","Peyton","Peyton Barber","Barber","3.7857142857142856","14","4700","TB@WAS","WAS","TB","","","","",""
"53152-54007","TE","Jacob","Jacob Hollister","Hollister","3.8142858232770647","14","4700","LAR@SEA","SEA","LAR","","","","",""
"53152-62994","WR","Steven","Steven Sims Jr.","Sims Jr.","3.369230710543119","13","4600","TB@WAS","WAS","TB","","","","",""
